id,poiId,cate_id,frontImg,title,avgScore,allCommentNum,address,avgPrice
42,4610483,c393,https://img.meituan.net/600.600/msmerchant/f86b948ddf2eb0c3e161232b4c0340ae51011.jpg,鲜芋仙（茂业店）,3.7,2462,涪城区公园路1号茂业百货二楼中庭,21
43,6668642,c393,http://p1.meituan.net/600.600/deal/16e00d7a106e33fb98288f9efa6cae4f492458.jpg,柒味餐饮（高新店）,4.1,400,涪城区绵兴东路86号,48
44,41969144,c393,http://p0.meituan.net/600.600/bbia/a1dd04688384bd0e5bd715bedf853971702294.png,周扒皮柴火鸡,3.8,938,涪城区一环路北段37号,41
45,4063178,c393,http://p0.meituan.net/600.600/deal/cba941a27471627d6df697d372b4b99e443889.jpg,乐山胖孃串串香,4,53,涪城区涪御旗路21-7号,45
46,4704435,c393,http://p0.meituan.net/600.600/bbia/0a4dc63db204b1c8c045aafc5a830eeb174879.png,天英莊火锅王（东津路店）,3.8,231,游仙区东津路26号（富乐中学旁）,45
47,51775286,c393,http://p0.meituan.net/600.600/xianfu/64f9c9b767857ad11a8d4041bd825f02392140.jpg,再遇上善本味寿司,4.2,2075,涪城区花园路9号万达广场5幢1楼3号,66
48,68314839,c393,http://p1.meituan.net/600.600/deal/1344fd8a67781a8913e2f31eb25edb0a329601.jpg,有盐有味羊蝎子,4.2,24,涪城区八角南路富临山庄后大门柏杨宾馆一楼,46
49,4468757,c393,https://img.meituan.net/600.600/msmerchant/e7fd11d4dee56b8497fa2ffa907392e9586608.png,海上海水晶酒店豆捞工坊,4.3,506,游仙区一环路东段135号海上海水晶酒店1楼,111
50,110880412,c393,http://p0.meituan.net/600.600/deal/4d0591e77e3ec844c38f0e27aa89ef7b1122130.jpg,花半里美食火锅（凯德广场店）,4.2,385,涪城区临园路东段凯德广场负1楼,41
51,2855015,c393,http://p0.meituan.net/600.600/poi/3aaa10187cb1ad8f8836fada5ba8cb1e106091.jpg,金穗麦佳鸡汁水饺（平政店）,4.1,76,涪城区跃进路北段21号,25
52,962389,c393,http://p1.meituan.net/600.600/mogu/65b82826232797ba8586a9a8e8b0c7d924642.jpg,老鬼火锅（高新店）,4,3738,涪城区火炬西街丽府e家酒店隔壁1楼,47
53,51900868,c393,http://p0.meituan.net/600.600/bbia/d18a81a1e0dfc03a6b3c6bddb2b124b7130605.jpg,茉茜娅（绵阳店）,4,38,涪城区火炬南街48号金域丽江11幢1栋9号（塞纳阳光海天师雨幼儿园对面）,15
54,2255159,c393,https://img.meituan.net/600.600/msmerchant/a282e4dcae800f0aa06df9138cdeacbb1006827.jpg,必胜客（新世界店）,4.5,0,涪城区临圆路东段72号新益大厦一楼,65
55,2255574,c393,https://img.meituan.net/600.600/msmerchant/77c5c17c450203598da08b80df8dfc5f344142.jpg,6秒斑鱼庄（高水店）,4.3,736,涪城区长虹大道北段58号,59
56,2536642,c393,https://img.meituan.net/600.600/msmerchant/1c66344808f08dde9b5b462d615a87622050428.jpg,鲜塘宴（虹桥西路店）,4.3,298,涪城区南湖街板桥小区虹桥西路公交站,59
57,40977582,c393,http://p0.meituan.net/600.600/deal/bf0d4d51aeef38e96fcf78eb5d94d0c5330554.jpg,让猪手飞杨程猪手（高新店）,4.1,376,涪城区双碑中街58号-2-28（西都生活广场A区）,26
58,5208724,c393,https://img.meituan.net/600.600/msmerchant/3fa78247046a3f9b45f62ad3eae1b69455085.jpg,鲜芋仙（涪城万达店）,3.7,5224,涪城区万达广场3楼（绵阳火车站）,23
59,4964806,c393,https://img.meituan.net/600.600/msmerchant/7c6626e29b8fd2e6f14c1bfad89bb90d1119134.jpg,蜀江烤鱼（涪城万达店）,3.6,5873,涪城区花园路9号万达广场室内步行街三层,68
60,6078153,c393,https://img.meituan.net/600.600/msmerchant/1aa5b71850c8a6cb919765d9a1985b3c85930.jpg,三香悦精品川菜馆,3.6,332,涪城区跃进路时代天骄广场三号楼三楼二号（404医院对面时代天骄商业广场盘子女人旁）,58
61,52724646,c393,https://img.meituan.net/600.600/msmerchant/2e4880aeef17149e5435b629a136d060118278.jpg,幺妹肥肠,4.4,200,江油市中雁路三合镇庄稼医院斜对面,28
62,2255628,c393,http://p0.meituan.net/600.600/deal/99e9c2cddaf3592fe1b5d7c58930b012305067.jpg,鲜尚轩斑鱼庄（荷花东街店）,4.3,999,涪城区荷花东街39号（桂园雅居8幢1楼）,63
63,41948593,c393,https://img.meituan.net/600.600/msmerchant/701cef240e1eccd3d6edb438226802482590602.png,羊加酱烤羊腿（芙蓉汉城总店）,4.5,335,游仙区一环路东段208号芙蓉汉城二期广场旁29-8号（近芙蓉汉城广场）,54
64,41430576,c393,http://p1.meituan.net/600.600/deal/3e081235d7a5a494422c4946a3860b83487593.jpg,何妈冒菜（通安巷店）,3.7,396,涪城区沿江东路6号负1号商铺,15
65,4822866,c393,https://img.meituan.net/600.600/msmerchant/0beaa4b658af0d0783e5b8635fe44f21125529.jpg,凯宴庄园,3.9,173,江油市会昌路博文小区旁凯宴庄园（江油市会昌路博文小区旁凯宴庄园）,55
66,40245217,c393,http://p1.meituan.net/600.600/deal/ed1385ee47bdcc3ee7c1431ad08d4b10482734.jpg,南山锅锅肴土灶鸡,3.4,182,涪城区长虹大道南段南山中学斜对面,44
67,51864844,c393,https://img.meituan.net/600.600/msmerchant/0eaeae49828f61898ea7c54b34b7ea1453802.jpg,鸭天下（高新店）,4,101,涪城区火炬西街北段126号（铂金时代）,40
68,3276795,c393,http://p0.meituan.net/600.600/deal/feb9111699d8c5ddbbe7d5f2971d0bd5523447.jpg,盛宴大酒楼,4.3,40,涪城区长虹大道中段45号4楼（近长虹大道）,59
69,52698182,c393,http://p1.meituan.net/600.600/deal/1e1da2ff72996869b33a8021d21b986d192101.jpg,麦之都diy蛋糕房,4.4,275,安州区花荄镇文苑路东段52号,20
70,2722841,c393,http://p1.meituan.net/600.600/dealwatera/559079f4c34e5c5c2e0eefd4a1734dc167392.jpg,豪吧特时尚餐厅（御营坝店）,4.3,228,涪城区长虹大道南段56-5号（近协和医院饮马大厦流星花园）,43
71,2255644,c393,http://p0.meituan.net/600.600/deal/5ea0412cd8e9b73021380bdc55e30247396976.jpg,重庆红蜻蜓美蛙鱼头火锅（绵阳店）,4,179,涪城区涪经开区南湖街133号,54
72,65831844,c393,https://img.meituan.net/600.600/msmerchant/684750cf45e10c574187417a347f76fa29675.jpg,阿芒迪娜（万达店）,3.8,769,涪城区花园路9号万达广场1楼,24
73,42426352,c393,http://p1.meituan.net/600.600/deal/989995fac1a1fb5cebd4d75aabc90f1c418743.jpg,馥园火锅,4.2,230,江油市双江路江电老大门（14路车终点站）,31
74,5299194,c393,http://p0.meituan.net/600.600/bbia/c638ac3c0acddb866f72e31755505aa3360571.jpg,芭夯兔（江油店）,4,1352,江油市诗仙路中段文风街（李白纪念馆前）,50
75,6731736,c393,http://p1.meituan.net/600.600/bbia/072cb04a1ce2a2e46cce4f724a73b5f7375349.jpg,良木缘咖啡西餐（凯德店）,3.8,649,涪城区临园路东段74号凯德广场05层07/08/09B号,60
76,5233195,c393,http://p0.meituan.net/600.600/deal/e9bbb3b9894146fd2a399f5472afb436332278.jpg,鹰贵饼屋（总店）,3.6,138,平武县飞龙路西段205号,10
77,4818291,c393,http://p0.meituan.net/600.600/deal/f484f60f5754073f82ee74364c22eabe318556.jpg,光头鸭脖（新区店）,3.9,165,涪城区科大路150号（西科大新区小铁门外）,9
78,40412556,c393,http://p1.meituan.net/600.600/deal/9013b28d02d73be4d0bd54df6d05fb2d469006.jpg,园中缘园林火锅,3.8,180,涪城区元通路科创园区元通文化广场（温莎国际旁）,50
79,51983590,c393,https://img.meituan.net/600.600/msmerchant/2de8eaac808f1fe44608861bce34162e112701.jpg,金色麦浪烘焙,4.1,315,安州区文胜路西段67号（银都宝座一期对面）,12
80,195292616,c393,https://img.meituan.net/600.600/msmerchant/11eafe43f1cfec8cc44b1f3e9f0f4e72199084.jpg,爱尚LaKaoLa烤肉,4.4,131,涪城区上马西街,53
81,185011399,c393,http://p1.meituan.net/600.600/bbia/32dd7016d07b097efa69e7223f948a7e234803.jpg,喜来鼎香源火锅,5,487,涪城区玉泉中路2号（喜来公社1栋7-8号）,55
82,718724193,c393,https://img.meituan.net/600.600/msmerchant/8f9f475489377af238a086c25e7fbd3d168722.jpg,百变疯味烤肉（金楠天街店）,4.8,30,涪城区塘坊大道,45
83,158899855,c393,https://img.meituan.net/600.600/msmerchant/eaa5a62a903fe4c37463b0b866c1603f142855.jpg,蜀九香火锅（园艺山店）,3.4,201,涪城区玉泉南路奥林春天三期七幢一楼,82
